COC(=O)O	000	methyl hydrogen carbonate
c1ccc(c(c1)NC(=O)CCC(=O)N=NC=C2C=CC(=CN=NC(=O)CCC(=O)Nc3ccccc3Cl)C=C2)Cl	LJZ	4,4'-{cyclohexa-2,5-diene-1,4-diylidenebis[(e)methylylidene(e)diazene-2,1-diyl]}bis[n-(2-chlorophenyl)-4-oxobutanamide]
CC(C)(C)C(C(=O)NC(Cc1ccccc1)CC(C(Cc2ccc(cc2)c3cccnc3)NC(=O)C(C(C)(C)C)NC(=O)OC)O)NC(=O)OC	LK0	methyl n-[(2s)-1-[[(2s,3s,5s)-5-[[(2s)-2-(methoxycarbonylamino)-3,3-dimethyl-butanoyl]amino]-3-oxidanyl-6-phenyl-1-(4-pyridin-3-ylphenyl)hexan-2-yl]amino]-3,3-dimethyl-1-oxidanylidene-butan-2-yl]carbamate
CCCCOc1ccc2cc(ccc2c1)S(=O)(=O)NC(CCC(=O)O)C(=O)O	LK1	n-[(6-butoxynaphthalen-2-yl)sulfonyl]-l-glutamic acid
CCCCOc1ccc2cc(ccc2c1)S(=O)(=O)NC(CCC(=O)O)C(=O)O	LK2	n-[(6-butoxynaphthalen-2-yl)sulfonyl]-d-glutamic acid
CCCCCOc1ccc2cc(ccc2c1)S(=O)(=O)NC(CCC(=O)O)C(=O)O	LK3	n-{[6-(pentyloxy)naphthalen-2-yl]sulfonyl}-d-glutamic acid
c1cc(ccc1COc2ccc3cc(ccc3c2)S(=O)(=O)NC(CCC(=O)O)C(=O)O)C#N	LK4	n-({6-[(4-cyanobenzyl)oxy]naphthalen-2-yl}sulfonyl)-d-glutamic acid
CCCCOC1CCCC2C1=C(NC2C(CC)C=O)C(=O)O	LK5	(1s,4r,7ar)-4-butoxy-1-[(1r)-1-formylpropyl]-2,4,5,6,7,7a-hexahydro-1h-isoindole-3-carboxylic acid
CC=C(C=O)C1C2CCCC(C2=C(N1)C(=O)O)OC	LK7	(1r,4s,7as)-1-(1-formylprop-1-en-1-yl)-4-methoxy-2,4,5,6,7,7a-hexahydro-1h-isoindole-3-carboxylic acid
C(C1C(C(C(C(S1)N)O)O)O)O	LKA	5-thio-alpha-d-mannopyranosylamine
c1cc(cnc1)C(=O)Nc2c[nH]c3c2cc(cn3)c4ccc(cc4)C#N	LKB	~{n}-[5-(4-cyanophenyl)-1~{h}-pyrrolo[2,3-b]pyridin-3-yl]pyridine-3-carboxamide
CC1=CN(C(=O)N=C1N)C2C3C(C(O2)(CO3)CO)O	LKC	4-amino-1-[(1s,3r,4r,7s)-7-hydroxy-1-(hydroxymethyl)-2,5-dioxabicyclo[2.2.1]hept-3-yl]-5-methylpyrimidin-2(1h)-one
CNC1CCC(CC1)N(Cc2cc(ccc2OC)c3ccncc3)C(=O)c4c(c5c(ccc(c5s4)F)F)Cl	LKD	3-chloro-4,7-difluoro-n-{[2-methoxy-5-(pyridin-4-yl)phenyl]methyl}-n-[trans-4-(methylamino)cyclohexyl]-1-benzothiophene-2-carboxamide
Cc1c(n2ccnc(c2n1)N3CCOCC3)c4cnn(c4)CC(C)OC	LKF	4-[3-[1-[(2s)-2-methoxypropyl]pyrazol-4-yl]-2-methyl-imidazo[1,2-a]pyrazin-8-yl]morpholine
c1ccc(cc1)c2ccc3nnc(n3n2)Cc4ccc(cc4)O	LKG	4-[(6-phenyl[1,2,4]triazolo[4,3-b]pyridazin-3-yl)methyl]phenol
c1ccc(cc1)c2cccc(c2)CNC(=O)c3cc(cc(n3)C(=O)N4CCCC4CN5CCCC5)c6cc(nc(c6)C(=O)N7CCCC7Cn8cccc8)C(=O)NC(C9CCCCC9)C(=O)O	LKJ	(2r)-{[(2'-[(biphenyl-3-ylmethyl)carbamoyl]-6'-{[(2r)-2-(pyrrolidin-1-ylmethyl)pyrrolidin-1-yl]carbonyl}-6-{[(2r)-2-(1h-pyrrol-1-ylmethyl)pyrrolidin-1-yl]carbonyl}-4,4'-bipyridin-2-yl)carbonyl]amino}(cyclohexyl)ethanoic acid
CCC(CC)(C(=O)NCc1cn(nn1)Cc2ccc(cc2)Br)S(=O)(=O)O	LKK	3-[[1-[(4-bromophenyl)methyl]-1,2,3-triazol-4-yl]methylcarbamoyl]pentane-3-sulfonic acid
c1cc(c(cc1C#N)F)COc2ccc3cc(ccc3c2)S(=O)(=O)NC(CCC(=O)O)C(=O)O	LKM	n-({6-[(4-cyano-2-fluorobenzyl)oxy]naphthalen-2-yl}sulfonyl)-d-glutamic acid
c1cc-2c(c(c1)F)C(n3c2cnc3)CC(C4CCC(CC4)O)O	LKP	trans-4-{(1r)-2-[(5s)-6-fluoro-5h-imidazo[5,1-a]isoindol-5-yl]-1-hydroxyethyl}cyclohexan-1-ol
Cc1cnc(nc1c2c[nH]c3c2cccc3NC(=O)c4cccnc4C)Nc5cn(nc5OC)C	LKQ	~{n}-[3-[2-[(3-methoxy-1-methyl-pyrazol-4-yl)amino]-5-methyl-pyrimidin-4-yl]-1~{h}-indol-7-yl]-2-methyl-pyridine-3-carboxamide
[H]N=C(Cc1ccccc1)NC2C(C(C(C(S2)CO)O)O)O	LKS	n-[(1z)-2-phenylethanimidoyl]-5-thio-alpha-d-mannopyranosylamine
c1cc(c(c(c1)Cl)C#N)N2CCC(C2)C(CC#N)n3cc(cn3)c4c5cc[nH]c5ncn4	LKT	2-chloranyl-6-[(3~{s})-3-[(1~{s})-2-cyano-1-[4-(7~{h}-pyrrolo[2,3-d]pyrimidin-4-yl)pyrazol-1-yl]ethyl]pyrrolidin-1-yl]benzenecarbonitrile
Cc1c(cc(cc1NC(=O)c2cccc(c2)C#N)F)CN3CCN(C(C3)C)C(=O)C4CCCC4	LKY	3-cyano-n-(3-{[(3s)-4-(cyclopentanecarbonyl)-3-methylpiperazin-1-yl]methyl}-5-fluoro-2-methylphenyl)benzamide
CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)CC=O	LKZ	3,5,7,9,11-pentakis(oxidanylidene)dodecanal
c1ccc2c(c1)c(n[nH]2)c3ccncc3	LL1	3-pyridin-4-yl-1h-indazole
c1ccc(cc1)Cc2cnc(s2)N	LL2	5-benzyl-1,3-thiazol-2-amine
c1ccc(cc1)CC(=O)N2CCC(CC2)c3nc(no3)c4cccs4	LL3	2-phenyl-1-{4-[3-(thiophen-2-yl)-1,2,4-oxadiazol-5-yl]piperidin-1-yl}ethanone
CC(C)CCC(=O)N1CCC(CC1)c2nc(no2)c3cccs3	LL4	4-methyl-1-{4-[3-(thiophen-2-yl)-1,2,4-oxadiazol-5-yl]piperidin-1-yl}pentan-1-one
CC(C)C(C(=O)N1CCC(CC1)c2nc(no2)c3cccs3)N	LL5	(2s)-2-amino-3-methyl-1-{4-[3-(thiophen-2-yl)-1,2,4-oxadiazol-5-yl]piperidin-1-yl}butan-1-one
COc1cc(cc(c1OC)OC)NC(=O)CCNC(=O)C2CCCCN2S(=O)(=O)Cc3ccccc3	LL7	(2~{s})-~{n}-[3-oxidanylidene-3-[(3,4,5-trimethoxyphenyl)amino]propyl]-1-(phenylmethyl)sulfonyl-piperidine-2-carboxamide
CC(=O)CC(=O)c1ccc2cc(ccc2c1)OC	LL8	1-(6-methoxynaphthalen-2-yl)butane-1,3-dione
COc1ccc(cc1Cl)CNCCS(=O)(=O)O	LL9	2-[(3-chloro-4-methoxybenzyl)amino]ethanesulfonic acid
c1ccc(cc1)CC(C(=O)O)O	LLA	l-2-hydroxy-3-phenyl-propionic acid
CC1CCN(CC1)CCOc2ccc(cc2)C(=O)c3c4ccc(cc4sc3c5ccc(cc5)O)O	LLB	[6-hydroxy-2-(4-hydroxyphenyl)-1-benzothien-3-yl]{4-[2-(4-methylpiperidin-1-yl)ethoxy]phenyl}methanone
c1cc(ccc1c2c(c3ccc(cc3s2)O)C(=O)c4ccc(cc4)OCCN5CCCC5)O	LLC	[6-hydroxy-2-(4-hydroxyphenyl)-1-benzothien-3-yl][4-(2-pyrrolidin-1-ylethoxy)phenyl]methanone
c1ccc(cc1)CS(=O)(=O)N2CCCCC2C(=O)OCCNC(=O)c3cccnc3	LLD	2-(pyridin-3-ylcarbonylamino)ethyl (2~{s})-1-(phenylmethyl)sulfonylpiperidine-2-carboxylate
CC(=O)CC(=CC(=CC(=CC(=O)CC(O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(O)(O)O)O)O)O)O	LLE	(2~{r})-3,3-dimethyl-2-oxidanyl-~{n}-[3-oxidanylidene-3-[2-[(1~{r},4~{z},6~{z},8~{z})-1,5,7,9-tetrakis(oxidanyl)-3,11-bis(oxidanylidene)dodeca-4,6,8-trienyl]sulfanylethylamino]propyl]-4-[tris(oxidanyl)-$l^{5}-phosphanyl]oxy-butanamide
Cc1c(c(c(cn1)COP(=O)(O)O)C=NCC(F)F)O	LLF	(4-{(e)-[(2,2-difluoroethyl)imino]methyl}-5-hydroxy-6-methylpyridin-3-yl)methyl dihydrogen phosphate
c1ccc2c(c1)cccc2CC(=O)OCCN	LLG	2-aminoethyl naphthalen-1-ylacetate
C(C(C(=O)NO)O)(C(C(=O)O)O)O	LLH	(2r,3s,4r)-2,3,4-trihydroxy-5-(hydroxyamino)-5-oxopentanoic acid
COc1ccc(cc1OCCN2CCNC2=O)C3=NN(C(=O)C4C3CC=CC4)C5CCCCCC5	LLI	(4~{a}~{s},8~{a}~{r})-2-cycloheptyl-4-[4-methoxy-3-[2-(2-oxidanylideneimidazolidin-1-yl)ethoxy]phenyl]-4~{a},5,8,8~{a}-tetrahydrophthalazin-1-one
c1cc2cc3c1ccc(c3)C[NH2+]CCOCC[NH2+]Cc4ccc5ccc(cc5c4)C[NH2+]CCOCC[NH2+]C2	LLJ	6,22-dioxa-3,9,19,25-tetraazoniapentacyclo[25.5.3.3~11,17~.0~14,37~.0~30,34~]octatriaconta-1(33),11(38),12,14(37),15,17(36),27,29,31,34-decaene
CC=CC(=O)c1ccc2cc(ccc2c1)OC	LLK	(2e)-1-(6-methoxynaphthalen-2-yl)but-2-en-1-one
CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CCC(O3)CN)N)N)N)O	LLL	(2r,3r,4r,5r)-2-((1s,2s,3r,4s,6r)-4,6-diamino-3-((2r,3r,6s)-3-amino-6-(aminomethyl)-tetrahydro-2h-pyran-2-yloxy)-2-hydr
oxycyclohexyloxy)-5-methyl-4-(methylamino)-tetrahydro-2h-pyran-3,5-diol
CC1CC2CC=CC(O2)CC=CC(=O)OC(CC3C(O3)C(CC(=C)C1)O)C(C=CC4CC(=CCO4)C)O	LLM	laulimalide
c1cc(c(cc1C2=NN(C(=O)C3C2CC=CC3)C4CCCCCC4)OCCN5CCNC5=O)OCCO	LLN	(4~{a}~{s},8~{a}~{r})-2-cycloheptyl-4-[4-(2-hydroxyethyloxy)-3-[2-(2-oxidanylideneimidazolidin-1-yl)ethoxy]phenyl]-4~{a},5,8,8~{a}-tetrahydrophthalazin-1-one
CC(CC(C)(C)O)NCCCCC(C(=O)O)N	LLO	n~6~-[(1s)-3-hydroxy-1,3-dimethylbutyl]-l-lysine
Cc1c(c(c(cn1)COP(=O)(O)O)C=NCCCCC(C(=O)O)N)O	LLP	(2s)-2-amino-6-[[3-hydroxy-2-methyl-5-(phosphonooxymethyl)pyridin-4-yl]methylideneamino]hexanoic acid
C(C(CS(=O)(=O)O)O)O	LLQ	(2~{s})-2,3-bis(oxidanyl)propane-1-sulfonic acid
Cc1c(c(n(n1)c2[nH]c3ccc(c(c3n2)Cl)Cl)O)C4c5ccccc5C(=O)O4	LLS	(3~{s})-3-[1-[4,5-bis(chloranyl)-1~{h}-benzimidazol-2-yl]-3-methyl-5-oxidanyl-pyrazol-4-yl]-3~{h}-2-benzofuran-1-one
CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)O	LLT	l-deoxythymidine
c1ccc(cc1)c2ccc(c(c2)NC(=O)c3ccccc3)N	LLX	n-(4-aminobiphenyl-3-yl)benzamide
C(CCNC(C(=O)O)C(=O)O)CC(C(=O)O)N	LLY	nz-(dicarboxymethyl)lysine
CC(CC(=O)c1ccc2cc(ccc2c1)OC)NCCCCC(C(=O)O)N	LLZ	n~6~-[(1s)-3-(6-methoxynaphthalen-2-yl)-1-methyl-3-oxopropyl]-l-lysine
COC1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)OC3C(NC(=NO)C(C3O)O)CO)CO)CO	LM2	4'-o-methyl-maltosyl-alpha (1,4)-(z, 3s,4s,5r,6r)-3,4,5-trihydroxy-6-hydroxymethyl-piperidin-2-one
CN(C)c1cc(c(nn1)c2cccc3c2cccc3)c4ccncc4	LM3	n,n-dimethyl-6-(naphthalen-1-yl)-5-(pyridin-4-yl)pyridazin-3-amine
CN(C)c1cc(c(nn1)c2ccc3ccccc3c2)c4ccncc4	LM4	n,n-dimethyl-6-(naphthalen-2-yl)-5-(pyridin-4-yl)pyridazin-3-amine
CC1C(C(C(N1)C(=O)NCc2ccccc2)O)O	LM5	(3s,4r,5s)-n-benzyl-3,4-dihydroxy-5-methyl-d-prolinamide
c1ccc2c(c1)C(=O)NC(=O)N2c3ccc(c(c3)[N+](=O)[O-])O	LM7	1-(4-hydroxy-3-nitrophenyl)quinazoline-2,4(1h,3h)-dione
CCCCCC=CC(C)C=CCC=CCC=CCCCC(=O)O	LM8	(5z,8z,11z,13s,14z)-13-methylicosa-5,8,11,14-tetraenoic acid
CC1CC(C(C(O1)OC2C(CC(C(=O)C(C(C(C(OC(=O)C(C(C2C)OC3CC(C(C(O3)C)OC(=O)C)(C)OC)C)C(C)C(C)O)C)OC(=O)C)C)(C)O)C)C)OC	LMA	lankamycin
CCC(=CC(C)CC=CC(=CC(C)C(=O)C(C)C(C(C)CC(=CC(=O)O)C)O)C)C=CC(C(C)CCC(=O)O)O	LMB	leptomycin b, bound form
CC(=CC=O)C=CC=C1C(c2ccccc2N1C)(C)C	LMC	(2e,4e,6e)-3-methyl-6-(1,3,3-trimethyl-1,3-dihydro-2h-indol-2-ylidene)hexa-2,4-dienal
CCCCCCCCCCCCCCOC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)O)O)O	LMD	tetradecyl 4-o-alpha-d-glucopyranosyl-beta-d-glucopyranoside
CC(CC(=O)O)C(C(=O)O)N	LME	(2s,3r)-2-azanyl-3-methyl-pentanedioic acid
CNC(=S)NCCCCC(C(=O)O)N	LMF	nz(n-methyl thioformamide) lysine
CCCCCCCCCCCCCCCCCC(=O)OCC(COC1C(C(C(C(O1)CO)O)O)O)OC(=O)CCCCCCCCCCCCCCCCC	LMG	1,2-distearoyl-monogalactosyl-diglyceride
CC(CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)CCOP(=O)(O)OC1C(C(C(C(O1)CO)O)O)O	LMH	glucosyl-dolichol phosphate
CC1(c2c(c3cc(c(cc3[nH]2)Br)Cl)CC45C1CC6(CCCN6C4)C(=O)N5)C	LMJ	(5as,12as,13as)-9-bromo-8-chloro-12,12-dimethyl-2,3,11,12,12a,13-hexahydro-1h,5h,6h-5a,13a-(epiminomethano)indolizino[7
,6-b]carbazol-14-one
CCCCCCCCCCCCCCCCCC(O)OCC(COCCC(C(=O)O)[N+](C)(C)C)OC(CCCCCCCCCCCCCCCCC)O	LMK	trimethyl-[(2~{r})-1-oxidanyl-1-oxidanylidene-4-[(2~{s})-2-[(1~{s})-1-oxidanyloctadecoxy]-3-[(1~{r})-1-oxidanyloctadecoxy]propoxy]butan-2-yl]azanium
CC(C)CC(C(=O)O)C(=O)O	LML	isobutyl malonic acid
Cc1csc2c1nc(nc2Nc3cn(cn3)C)NC(C)c4ncc(cn4)F	LMM	n2-[(1s)-1-(5-fluoropyrimidin-2-yl)ethyl]-7-methyl-n4-(1-methylimidazol-4-yl)thieno[3,2-d]pyrimidine-2,4-diamine
CCCCCCCCCCC(CCCCCCCCCC)(COC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)O)O)O)COC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)CO)O)O)O)O)O	LMN	lauryl maltose neopentyl glycol
CC1C(C(=NC1C(C(C)O)C(=O)O)C(=O)O)SC2CC(NC2)C(=O)N(C)C	LMP	(2~{s},3~{r},4~{s})-2-[(2~{s},3~{r})-1,3-bis(oxidanyl)-1-oxidanylidene-butan-2-yl]-4-[(3~{s},5~{s})-5-(dimethylcarbamoy
l)pyrrolidin-3-yl]sulfanyl-3-methyl-3,4-dihydro-2~{h}-pyrrole-5-carboxylic acid
CC(CC(=O)N)C(C(=O)O)N	LMQ	(3s)-3-methyl-l-glutamine
C(C(C(=O)O)O)C(=O)O	LMR	(2s)-2-hydroxybutanedioic acid
c1nc(c2c(n1)n(cn2)C3C(C(C(O3)COS(=O)(=O)N)O)O)N	LMS	[(2r,3s,4r,5r)-5-(6-amino-9h-purin-9-yl)-3,4-dihydroxytetrahydro-2-furanyl]methyl sulfamate
CCCCCCCCCCCCOC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)O)O)O	LMT	dodecyl-beta-d-maltoside
CCCCCCCCCCCCOC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)O)O)O	LMU	dodecyl-alpha-d-maltoside
CC(C)CS(=O)(=O)NC(=O)c1ccc2c(c1)N(CC(O2)c3ccc(cc3Cl)Cl)CC4CCC4	LMV	(2~{s})-4-(cyclobutylmethyl)-2-(2,4-dichlorophenyl)-~{n}-(2-methylpropylsulfonyl)-2,3-dihydro-1,4-benzoxazine-6-carboxamide
Cc1c(ccc2c1cc(n2CC34CC(C3)(C4)NC=O)C#N)CN5CCC(CC5)Nc6c7cc(sc7nc(n6)NC)CC(F)(F)F	LMY	~{n}-[3-[[2-cyano-4-methyl-5-[[4-[[2-(methylamino)-6-[2,2,2-tris(fluoranyl)ethyl]thieno[2,3-d]pyrimidin-4-yl]amino]piperidin-1-yl]methyl]indol-1-yl]methyl]-1-bicyclo[1.1.1]pentanyl]methanamide
C(C(C(C(CO)O)O)O)NC1=C(C(=O)NC(=O)N1)N=O	LMZ	5-nitroso-6-ribityl-amino-2,4(1h,3h)-pyrimidinedione
CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(=O)C	LN0	methyl 6,8-dideoxy-6-{[(4r)-1-methyl-4-propyl-l-prolyl]amino}-1-thio-d-glycero-alpha-d-galacto-octopyranosid-7-ulose
CC(COC(=O)Cc1ccc(c(c1)O)O)(C(C(=O)O)Nc2c(cc3n2cccc3)C=O)S(=O)O	LN1	(3r)-4-{[(3,4-dihydroxyphenyl)acetyl]oxy}-n-(2-formylindolizin-3-yl)-3-sulfino-d-valine
[H]N=C(CC)NCCCC(C(=O)O)N	LN5	n5-(1-iminopropyl)-l-ornithine
CCCCC(=N)NCCCC(C(=O)O)N	LN6	n~5~-[(1e)-pentanimidoyl]-l-ornithine
CCCCC(N)NCCCC(C(=O)O)N	LN7	n~5~-[(1s)-1-aminopentyl]-l-ornithine
C1CC2CCC1[NH2+][Pt]([NH2+]2)(Cl)Cl	LN8	kiteplatin
CCCCCC=CCC(=CCCCCCCCC(=O)O)[N+](=O)[O-]	LNA	(9e,12z)-10-nitrooctadeca-9,12-dienoic acid
CCCCCC=C(CC=CCCCCCCCC(=O)O)[N+](=O)[O-]	LNB	(9z,12e)-12-nitrooctadeca-9,12-dienoic acid
c1c(c[n+](cc1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)([O-])OCC3C(C(C(O3)n4cnc5c4ncnc5N)O)O)O)O)CCC(C(=O)O)O	LNC	(3s)-5-(3-carboxy-3-hydroxypropyl) nicotinamide-adenine-dinucleotide
c1c[n+](ccc1C(=O)N)CCCn2ccnc2C=NO	LND	4-carbamoyl-1-(3-{2-[(e)-(hydroxyimino)methyl]-1h-imidazol-1-yl}propyl)pyridin-1-ium
CCNC(=O)C(CC(C)C)N	LNE	n-ethyl-l-leucinamide
CC(C)CCCCCCCC=CCC(=O)O	LNG	delta-3isotetradecenoic acid
CC(=O)Nc1ccc2c(c1)c(cn2CCC(=O)O)c3cc(n4c(n3)c(cn4)C#N)NC5CC5	LNH	3-{5-(acetylamino)-3-[3-cyano-7-(cyclopropylamino)pyrazolo[1,5-a]pyrimidin-5-yl]-1h-indol-1-yl}propanoic acid
COc1ccc(cc1)Cc2ccc(cc2)c3csc(n3)N	LNJ	4-{4-[(4-methoxyphenyl)methyl]phenyl}-1,3-thiazol-2-amine
CCCCC	LNK	pentane
CCC=CCC=CCC=CCCCCCCCC(=O)O	LNL	alpha-linolenic acid
CC(C)CC(C(=O)NC)N	LNM	n-methyl-l-leucinamide
c1ccc(cc1)c2cc(ccc2O)CC(=O)O	LNN	(6-hydroxybiphenyl-3-yl)acetic acid
CC(C)CC(C(=O)NO)N	LNO	l-leucyl-hydroxylamine
CC(C)CCCC(C)C1CCC2(C1(CCC3C2=CCC4C3(CCC(C4(C)C)O)C)C)C=C5CC5	LNP	(3alpha,9beta,10alpha,13alpha)-30-cyclopropylidenelanost-7-en-3-ol
CCCOCCOCCOCCCNC1=C(C(=O)C1=O)N	LNQ	3-amino-4-{3-[2-(2-propoxy-ethoxy)-ethoxy]-propylamino}-cyclobut-3-ene-1,2-dione
c1cc(c(cc1C(CN)O)O)O	LNR	l-norepinephrine
CC(C)CC(C(NC(C(C)O)C(=O)O)(O)O)N	LNT	n-[(2s)-2-amino-1,1-dihydroxy-4-methylpentyl]-l-threonine
CC(=O)NC1C(C=C(OC1C(C(CO)O)OC)C(=O)O)NC(=N)N	LNV	5-acetamido-2,6-anhydro-4-carbamimidamido-3,4,5-trideoxy-7-o-methyl-d-glycero-d-galacto-non-2-enonic acid
c1ccc(cc1)c2cc(cc(c2)CC(=O)O)CC(=O)O	LNW	2,2'-biphenyl-3,5-diyldiacetic acid
c1cc(sc1)c2cc(cc(c2)CC(=O)O)CC(=O)O	LNX	2,2'-(5-(thiophen-2-yl)-1,3-phenylene)diacetic acid
c1cc(sc1C#CCO)c2cc(cc(c2)CC(=O)O)CC(=O)O	LNY	2,2'-(5-(5-(3-hydroxyprop-1-yn-1-yl)thiophen-2-yl)-1,3-phenylene)diacetic acid
Cc1cc(c(cc1C(=O)NS(=O)(=O)C)c2ccc(s2)C#CCO)OC	LNZ	5-(5-(3-hydroxyprop-1-yn-1-yl)thiophen-2-yl)-4-methoxy-2-methyl-n-(methylsulfonyl)benzamide
c1cc(ccc1CN)NC(=O)C(=O)O	LO1	[[4-(aminomethyl)phenyl]amino]oxo-acetic acid,
CCCCN(Cc1cc(c(c(c1)Cl)OC)OC)c2ccc(cc2)C(C(F)(F)F)(C(F)(F)F)O	LO2	2-{4-[butyl(3-chloro-4,5-dimethoxybenzyl)amino]phenyl}-1,1,1,3,3,3-hexafluoropropan-2-ol
CC1CC(CC(O1)CCC(C)C(C(C)C2C(C(CC(C3(CO3)C(CC4CC=CC(O4)CC(C(C=C(C=CC(=O)O2)C)O)OC)OC)OC)OC)C)O)OC	LO3	(1s,3s,4s,5s,7r,8s,9r,12e,14e,16r,17r,19r)-16-hydroxy-9-{(1s,2s,3s)-2-hydroxy-5-[(2s,4r,6s)-4-methoxy-6-methyltetrahydro-2h-pyran-2-yl]-1,3-dimethylpentyl}-3,5,7,17-tetramethoxy-8,14-dimethyl-11h-spiro[10,23-dioxabicyclo[17.3.1]tricosa-12,14,20-triene-4,2'-oxiran]-11-one
CC1(CCCCC1)COc2ccc(cc2)CC3=SC(=O)NC3=O	LO4	ciglitazone
c1cc2c(cc1CNCC3CCCO3)OCO2	LO5	1-(1,3-benzodioxol-5-yl)-~{n}-[[(2~{r})-oxolan-2-yl]methyl]methanamine
CCc1ccc(nc1)C(=O)COc2ccc(cc2)CC3C(=O)NC(=O)S3	LO7	mitoglitazone
CC1(CN(CCN1)C2COC2)C(=O)NCc3ccccc3	LO8	(2~{s})-2-methyl-4-(oxetan-3-yl)-~{n}-(phenylmethyl)piperazine-2-carboxamide
CC(CCC(=O)O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)OC(=O)C)C)C	LOA	(3beta,5beta,9beta)-3-(acetyloxy)cholan-24-oic acid
CN1C(CCCC1CC(=O)c2ccccc2)CC(c3ccccc3)O	LOB	lobeline
CC(=O)NC1CCc2cc(c(c(c2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC	LOC	n-[(7s)-1,2,3,10-tetramethoxy-9-oxo-6,7-dihydro-5h-benzo[d]heptalen-7-yl]ethanamide
c1cc2c(cc1C(=O)O)N(CC3(CCc4c3ccc(c4)Cl)CO2)CC5CCC5	LOD	(3s)-5'-chloro-5-(cyclobutylmethyl)-2',3',4,5-tetrahydro-2h-spiro[1,5-benzoxazepine-3,1'-indene]-7-carboxylic acid
C1CCC2(CC1)OCC(O2)CN3CCCCC3	LOE	1-[[(3~{s})-1,4-dioxaspiro[4.5]decan-3-yl]methyl]piperidine
c1ccc(cc1)CC(C(=O)O)O	LOF	3-phenyl-lactic acid
CC(=O)NC1C(C(C(OC1=NO)CO)O)O	LOG	n-acetylglucosaminono-1,5-lactone (z)-oxime
C(CN)C(C(C(C(=O)O)N)O)O	LOH	3,4-dihydroxylysine
Cc1csc(n1)NC(=O)c2cc(ccc2NC)Sc3nncn3C	LOI	2-(methylamino)-n-(4-methyl-1,3-thiazol-2-yl)-5-[(4-methyl-4h-1,2,4-triazol-3-yl)sulfanyl]benzamide
c1cc2c(cc1C(=O)O)N(CC(CO2)c3ccc(cc3Cl)Cl)CC4CCC4	LOJ	(3s)-5-(cyclobutylmethyl)-3-(2,4-dichlorophenyl)-2,3,4,5-tetrahydro-1,5-benzoxazepine-7-carboxylic acid
COC(=O)Nc1cccc(c1)NC(=O)OC	LOK	methyl ~{n}-[3-(methoxycarbonylamino)phenyl]carbamate
CC(C)CC(C(O)O)N	LOL	(2s)-2-amino-4-methylpentane-1,1-diol
c1cscn1	LOM	thiazole
CNC1CCc2cc(c(c(c2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC	LON	(7s)-1,2,3,10-tetramethoxy-7-(methylamino)-6,7-dihydro-5h-benzo[a]heptalen-9-one
CCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCCC=CCCCCCCCC	LOP	(1r)-2-{[(r)-(2-aminoethoxy)(hydroxy)phosphoryl]oxy}-1-[(dodecanoyloxy)methyl]ethyl (9z)-octadec-9-enoate
Cc1ccc(cc1)N2C(=O)CCC2=O	LOQ	1-(4-methylphenyl)pyrrolidine-2,5-dione
c1ccc(cc1)C(C(=O)NC(C=O)C2CCC(C(=N2)C(=O)O)Cl)N	LOR	loracabef (open form)
c1cn(cn1)[Os+2]23([N]4=C(C=CC=C4)C5=CC=CC=[N]52)[N]6=C(C=CC=C6)C7=CC=CC=[N]37	LOS	lambda-bis(2,2'-bipyridine)imidazole osmium (ii)
c1cc(ncc1S(=O)(=O)N)N2C(=O)CCC2=O	LOT	6-[2,5-bis(oxidanylidene)pyrrolidin-1-yl]pyridine-3-sulfonamide
C1CC2(C3C(C1O2)C(=O)N(C3=O)CC(=O)O)CC(C(=O)O)N	LOU	3-[(3ar,4s,7s,7as)-2-(carboxymethyl)-1,3-dioxooctahydro-4h-4,7-epoxyisoindol-4-yl]-l-alanine
CC(C)CC(C(CC(C(C)C)C(=O)O)O)N	LOV	5-amino-4-hydroxy-2-isopropyl-7-methyl-octanoic acid
C1C2CC3(CC1CC(C2)(C3)O)N	LOW	(5~{s},7~{r})-3-azanyladamantan-1-ol
C1C(C(C(C(=NO)N1)O)O)O	LOX	(2z,3s,4s,5r)-2-hydroxyiminopiperidine-3,4,5-triol
